   40 -65.9201 -41.2307 1327940.331 	  2016   1   1  0 38 59.999981 
   41 -65.2964 -33.8676 1328113.195 	  2016   1   1  0 40  0.000018 
   42 -64.3092 -26.9546 1328195.576 	  2016   1   1  0 41  0.000014 
   43 -62.9983 -20.6132 1328189.535 	  2016   1   1  0 42  0.000011 
   44 -61.4081 -14.8941 1328098.264 	  2016   1   1  0 43  0.000007 
   45 -59.5824  -9.7924 1327926.039 	  2016   1   1  0 44  0.000004 
   46 -57.5610  -5.2681 1327678.157 	  2016   1   1  0 45  0.000000 
   47 -55.3780  -1.2637 1327360.862 	  2016   1   1  0 45 59.999996 
   48 -53.0620   2.2841 1326981.258 	  2016   1   1  0 46 59.999993 
   49 -50.6367   5.4368 1326547.213 	  2016   1   1  0 47 59.999989 
   50 -48.1209   8.2507 1326067.253 	  2016   1   1  0 48 59.999986 
   51 -45.5302  10.7753 1325550.446 	  2016   1   1  0 49 59.999982 
   52 -42.8770  13.0536 1325006.283 	  2016   1   1  0 51  0.000019 
   53 -40.1714  15.1222 1324444.547 	  2016   1   1  0 52  0.000015 
   54 -37.4218  17.0125 1323875.186 	  2016   1   1  0 53  0.000012 
   55 -34.6350  18.7508 1323308.174 	  2016   1   1  0 54  0.000008 
   56 -31.8167  20.3598 1322753.381 	  2016   1   1  0 55  0.000004 
   57 -28.9717  21.8587 1322220.436 	  2016   1   1  0 56  0.000001 
   58 -26.1040  23.2642 1321718.599 	  2016   1   1  0 56 59.999997 
   59 -23.2171  24.5906 1321256.635 	  2016   1   1  0 57 59.999994 
   60 -20.3142  25.8506 1320842.689 	  2016   1   1  0 58 59.999990 
   61 -17.3977  27.0552 1320484.180 	  2016   1   1  0 59 59.999987 
   62 -14.4703  28.2143 1320187.694 	  2016   1   1  1  0 59.999983 
   63 -11.5339  29.3369 1319958.895 	  2016   1   1  1  2  0.000020 
   64  -8.5907  30.4313 1319802.442 	  2016   1   1  1  3  0.000016 
   65  -5.6425  31.5050 1319721.925 	  2016   1   1  1  4  0.000013 
   66  -2.6911  32.5654 1319719.815 	  2016   1   1  1  5  0.000009 
   67   0.2618  33.6196 1319797.422 	  2016   1   1  1  6  0.000005 
   68   3.2145  34.6742 1319954.878 	  2016   1   1  1  7  0.000002 
   69   6.1652  35.7364 1320191.131 	  2016   1   1  1  7 59.999998 
   70   9.1122  36.8131 1320503.953 	  2016   1   1  1  8 59.999995 
   71  12.0537  37.9116 1320889.974 	  2016   1   1  1  9 59.999991 
   72  14.9879  39.0397 1321344.715 	  2016   1   1  1 10 59.999987 
   73  17.9127  40.2057 1321862.653 	  2016   1   1  1 11 59.999984 
   74  20.8258  41.4187 1322437.289 	  2016   1   1  1 12 59.999980 
   75  23.7249  42.6889 1323061.232 	  2016   1   1  1 14  0.000017 
   76  26.6073  44.0274 1323726.295 	  2016   1   1  1 15  0.000013 
   77  29.4697  45.4473 1324423.606 	  2016   1   1  1 16  0.000010 
   78  32.3088  46.9631 1325143.716 	  2016   1   1  1 17  0.000006 
   79  35.1202  48.5919 1325876.730 	  2016   1   1  1 18  0.000003 
   80  37.8992  50.3534 1326612.429 	  2016   1   1  1 18 59.999999 
   81  40.6398  52.2709 1327340.408 	  2016   1   1  1 19 59.999996 
   82  43.3350  54.3714 1328050.207 	  2016   1   1  1 20 59.999992 
